solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;1Cap10.txt;120;10,48;0;7954,0;2842,8;2842,5204129;200;7162;14224;199;2451;4803;0,0;38126,5;0,0;2801,5865;2848,8;2,83;76;463;13;10;;27;;37;76;463;13;10;;;27;;37;76;463;13;10;;;;27;;37;76;463;13;10;;27;;37
GUROBI;1Cap10.txt;120;20,87;0;22718,0;2842,8;2842,8;200;7162;14224;200;7162;14224;2024,5;7370,3;2024,5;2782,24229;2955,7;0,0;60;142;160;29;;112;29;14;60;142;160;29;;;112;29;14;60;142;160;29;;;;112;29;14;60;142;160;29;;112;29;14
CBC;1Cap10.txt;120;119,94;2,24232991351238;6674;2855,9;2791,8613;200;7162;14224;200;7162;14224;2791,8613;3559,1;2791,8613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;1Cap10.txt;300;10,53;0;7954,0;2842,8;2842,5204129;200;7162;14224;199;2451;4803;0,0;38126,5;0,0;2801,5865;2848,8;2,84;76;463;13;10;;27;;37;76;463;13;10;;;27;;37;76;463;13;10;;;;27;;37;76;463;13;10;;27;;37
GUROBI;1Cap10.txt;300;20,66;0;22718,0;2842,8;2842,8;200;7162;14224;200;7162;14224;2024,5;7370,3;2024,5;2782,24229;2955,7;0,0;60;142;160;29;;112;29;14;60;142;160;29;;;112;29;14;60;142;160;29;;;;112;29;14;60;142;160;29;;112;29;14
CBC;1Cap10.txt;300;179,78;0;9360;2842,8;2842,8;200;7162;14224;200;7162;14224;2791,8613;3559,1;2791,8613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;1Cap10.txt;600;10,49;0;7954,0;2842,8;2842,5204129;200;7162;14224;199;2451;4803;0,0;38126,5;0,0;2801,5865;2848,8;2,83;76;463;13;10;;27;;37;76;463;13;10;;;27;;37;76;463;13;10;;;;27;;37;76;463;13;10;;27;;37
GUROBI;1Cap10.txt;600;20,62;0;22718,0;2842,8;2842,8;200;7162;14224;200;7162;14224;2024,5;7370,3;2024,5;2782,24229;2955,7;0,0;60;142;160;29;;112;29;14;60;142;160;29;;;112;29;14;60;142;160;29;;;;112;29;14;60;142;160;29;;112;29;14
CBC;1Cap10.txt;600;179,71;0;9360;2842,8;2842,8;200;7162;14224;200;7162;14224;2791,8613;3559,1;2791,8613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;1Cap20.txt;120;13,06;0;8200,0;2130,4;2130,2041123;200;7162;14224;200;6992;13884;0,0;57592,5;0,0;2063,8337;2236,5;2,36;177;686;12;6;;84;;36;177;686;12;6;;;84;;36;177;686;12;6;;;;84;;36;177;686;12;6;;84;;36
GUROBI;1Cap20.txt;120;41,46;0;28091,0;2130,4;2130,4;200;7162;14224;200;7162;14224;1272,5;6127,1;1272,5;2048,20011;2407,8;0,0;119;260;90;25;;149;39;3;119;260;90;25;;;149;39;3;119;260;90;25;;;;149;39;3;119;260;90;25;;149;39;3
CBC;1Cap20.txt;120;119,93;3,4361387532857717;4148;2130,4;2057,1965;200;7162;14224;200;7162;14224;2057,1965;6333,4;2057,1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;1Cap20.txt;300;12,99;0;8200,0;2130,4;2130,2041123;200;7162;14224;200;6992;13884;0,0;57592,5;0,0;2063,8337;2236,5;2,35;177;686;12;6;;84;;36;177;686;12;6;;;84;;36;177;686;12;6;;;;84;;36;177;686;12;6;;84;;36
GUROBI;1Cap20.txt;300;41,33;0;28091,0;2130,4;2130,4;200;7162;14224;200;7162;14224;1272,5;6127,1;1272,5;2048,20011;2407,8;0,0;119;260;90;25;;149;39;3;119;260;90;25;;;149;39;3;119;260;90;25;;;;149;39;3;119;260;90;25;;149;39;3
CBC;1Cap20.txt;300;172,93;0;5714;2130,4;2130,4;200;7162;14224;200;7162;14224;2057,1965;6333,4;2057,1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;1Cap20.txt;600;13,01;0;8200,0;2130,4;2130,2041123;200;7162;14224;200;6992;13884;0,0;57592,5;0,0;2063,8337;2236,5;2,37;177;686;12;6;;84;;36;177;686;12;6;;;84;;36;177;686;12;6;;;;84;;36;177;686;12;6;;84;;36
GUROBI;1Cap20.txt;600;41,88;0;28091,0;2130,4;2130,4;200;7162;14224;200;7162;14224;1272,5;6127,1;1272,5;2048,20011;2407,8;0,0;119;260;90;25;;149;39;3;119;260;90;25;;;149;39;3;119;260;90;25;;;;149;39;3;119;260;90;25;;149;39;3
CBC;1Cap20.txt;600;173,64;0;5714;2130,4;2130,4;200;7162;14224;200;7162;14224;2057,1965;6333,4;2057,1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;1Cap30.txt;120;13,51;0;8337,0;1923,9;1923,7096491;200;7162;14224;200;7123;14146;0,0;79027,2;0,0;1829,5208;2143,3;3,04;217;730;12;10;;71;;19;217;730;12;10;;;71;;19;217;730;12;10;;;;71;;19;217;730;12;10;;71;;19
GUROBI;1Cap30.txt;120;19,84;0;16054,0;1923,9;1923,9;200;7162;14224;200;7162;14224;972,4;6414,8;972,4;1809,53105;2316,1;0,0;194;385;18;21;;103;27;1;194;385;18;21;;;103;27;1;194;385;18;21;;;;103;27;1;194;385;18;21;;103;27;1
CBC;1Cap30.txt;120;119,92;4,659228650137749;3650;1923,9;1834,2611;200;7162;14224;200;7162;14224;1826,7494;5616,9;1826,7494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;1Cap30.txt;300;13,4;0;8337,0;1923,9;1923,7096491;200;7162;14224;200;7123;14146;0,0;79027,2;0,0;1829,5208;2143,3;2,96;217;730;12;10;;71;;19;217;730;12;10;;;71;;19;217;730;12;10;;;;71;;19;217;730;12;10;;71;;19
GUROBI;1Cap30.txt;300;19,74;0;16054,0;1923,9;1923,9;200;7162;14224;200;7162;14224;972,4;6414,8;972,4;1809,53105;2316,1;0,0;194;385;18;21;;103;27;1;194;385;18;21;;;103;27;1;194;385;18;21;;;;103;27;1;194;385;18;21;;103;27;1
CBC;1Cap30.txt;300;178,14;0;5190;1923,9;1923,9;200;7162;14224;200;7162;14224;1826,7494;5616,9;1826,7494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
